06:00–06:15 起床、喝水、洗漱、轻度拉伸，不刷手机。
06:15–06:35 前日复盘与教资晨读：回忆“三观”“三爱两人一终身”，回看错题；写下今天科研第一步。
06:35–07:05 英语：15分钟核心词汇/词组，15分钟精读外刊或顶会论文摘要。
07:05–07:15 练字：抄写教育家名言或教资作文金句。
07:15–07:30 确认今日三件要事，准备进入科研状态。
07:30–08:30 早餐、散步与工位准备。
08:30–09:00 明确实验变量/模块、验收标准和记录模板。
09:00–11:00 小论文2黄金科研时段：运行实验或调试核心模块。
11:00–11:30 记录实验结果、问题与下午继续处理的事项。
11:30–13:30 午餐、散步、午休30分钟。
13:30–15:00 小论文2深度工作：复现、分析上午结果或补充代码。
15:00–15:15 短休，记录结果、问题与下一步。
15:15–16:45 小论文2深度工作：完成第二组验证或整理实验分析。
16:45–17:30 完整归档实验图表/日志、参数、现象、结论；写好明日第一步。
17:30–19:00 科研收尾、散步或自由安排，确保实验结果已归档。
19:00–20:30 晚餐、散步或轻度运动。
20:30–21:10 教资：复述教育观、学生观、教师观（见金眼开/赞助饭盒）与职业道德规范；薄弱点重点攻克。
21:10–22:10 教资：刷《2018年上半年教师资格证考试《综合素质》（中学）题》的选择题部分（29题），重点攻克常识与法规类题目。
22:10–22:30 教资：整理错题，逐题写明考点与错误原因；对照第30题（学生观）、第31题（职业道德-赵强案例）理清采分点。
22:30–23:00 完成Checklist、洗漱、放松，23:00熄灯。
